indekss,Es plānoju samazināt pārtikas atkritumus mājsaimniecībā,Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.",Kāda ir Jūsu uztura izvēle?,Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,"Vai varat īsi paskaidrot, kāpēc izvēlējāties iepriekš minētās darbības? (īsi pamatot, piemēram, ēst vairāk sezonālo augļu un dārzeņu, jo tie ir lētāki).",Kāda veida transportlīdzekļus Jūs izmantojat?,"Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?",Kāpēc neizvēlējāties kādu rīcību no augšā minētajām?,Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?,"Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Ja neveicat kādu no šīm darbībām, kāpēc ne?",Kādā mājokļa tipā Jūs dzīvojat?,"Ja Jūsu izvēle nav saistīta ar financēm, kāpēc Jūs izvēlējāties šo mājokļa tipu?",Vai Jūs atteiktos no liekas mājokļa platības?,Kāpēc?,Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?,Kāpēc?,Vai Jūsu dzīvesvieta ir papildus nosiltināta?,"Ja atbildējāt ""nē"", paskaidrojiet, kāpēc?",Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?,Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?,Kāpēc?,Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,Kurš no apgalvojumiem par Jums ir patiess?,Kāds ir Jūsu dzimums?,Kāds ir Jūsu vecums?,Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Kāda ir Jūsu dzīvesvieta?,rezultāts
1,0,10,2,1,0,0,11,0,0,1,2,10,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,44
2,0,8,1,1,0,0,3,0,0,2,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,24
3,0,6,2,1,0,0,7,0,0,1,4,7,0,0,0,0,0,0,0,0,0,1,0,3,0,5,1,0,0,0,0,0,0,38
4,0,3,3,1,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,2,5,0,2,0,0,0,0,0,0,0,26
5,0,5,3,1,0,0,10,0,0,1,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,34
6,0,2,3,1,0,0,5,0,0,2,4,6,0,1,0,0,0,0,0,1,0,4,5,5,0,5,0,0,0,0,0,0,0,44
7,0,2,2,2,0,0,10,0,0,2,1,3,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,28
8,0,8,2,3,0,0,3,0,0,1,3,11,0,1,0,0,0,0,0,1,0,1,0,2,0,4,7,0,0,0,0,0,0,47
9,0,2,3,1,0,0,5,0,0,1,1,5,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,22
10,0,5,3,1,0,0,7,0,0,1,3,10,0,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,40
11,0,5,0,1,0,0,5,0,0,1,3,6,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,26
12,0,2,0,1,0,0,1,0,0,2,2,2,0,1,0,0,0,0,0,0,0,1,2,2,0,2,1,0,0,0,0,0,0,19
13,0,2,1,1,0,0,5,0,0,2,2,4,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,23
14,0,0,3,1,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,15
15,0,2,3,1,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,21
16,0,7,0,1,0,0,7,0,0,2,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,46
