Jautājums,Atbilde,Svars
Es plānoju samazināt pārtikas atkritumus mājsaimniecībā,Jā,0
Es plānoju samazināt pārtikas atkritumus mājsaimniecībā,Nē,0
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,Lietoju vairākreiz lietojamus produktus,3
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,"Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)",2
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,"Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus",2
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,Kompostēju pāri palikušo ēdienu,3
Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,"Neuzskatu, ka tas ir nepieciešams",0
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Jā, es to jau daru",3
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Jā, es plānoju tā darīt",0
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Jā, bet es papildus lietošu ūdens attīrītāju",2
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Jā, es uzskatu, ka tas palīdz taupīt naudu",1
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Nē, man nepatīk garša",0
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Nē, es neuzskatu, ka tas ir droši",0
"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Nē, es negribu to darīt",0
Kāda ir Jūsu uztura izvēle?,Esmu vegāns,3
Kāda ir Jūsu uztura izvēle?,Esmu veģetarietis,2
Kāda ir Jūsu uztura izvēle?,Esmu visēdājs,1
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Samazināt savā uzturā dzīvnieku izcelsmes produktus,0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Pāriet uz vegānisko uzturu (ja neesat vegāns),0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Pāriet uz veģetāru uzturu (ja neesat veģetārietis),0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Ēst vairāk bioloģiskos dārzeņus un augļus,0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Ēst vairāk sezonālos dārzeņus un augļus,0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,"Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels",0
Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,Aizstāt lielu dzīvnieku gaļu ar mazāku dzīvnieku gaļu vai zivīm,0
